[main] ERROR io.swagger.codegen.config.CodegenConfigurator - Unable to deserialize config file: spring/conf.json
java.io.FileNotFoundException: spring/conf.json (No such file or directory)
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelCauseUserIdCause.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelComputerSet.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelFreeStyleBuild.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelFreeStyleProject.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelFreeStyleProjectactions.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelFreeStyleProjecthealthReport.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelHudson.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelHudsonMasterComputer.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelHudsonMasterComputerMonitorData.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelHudsonMasterComputerexecutors.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelHudsonassignedLabels.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelLabel1.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelListView.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelQueue.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelQueueBlockedItem.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelQueueLeftItem.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelStringParameterDefinition.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonmodelStringParameterValue.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonnodeMonitorsDiskSpaceMonitorDescriptorDiskSpace.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonnodeMonitorsResponseTimeMonitorData.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonnodeMonitorsSwapSpaceMonitorMemoryUsage2.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonscmEmptyChangeLogSet.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonscmNullSCM.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonsecuritycsrfDefaultCrumbIssuer.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/HudsonutilClockDifference.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanresthalLink.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanrestimplpipelineBranchImpl.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanrestimplpipelineBranchImplPermissions.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanserviceembeddedrestExtensionClassContainerImpl1.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanserviceembeddedrestExtensionClassContainerImpl1Links.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanserviceembeddedrestExtensionClassContainerImpl1Map.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanserviceembeddedrestExtensionClassImpl.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanserviceembeddedrestExtensionClassImplLinks.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanserviceembeddedrestPipelineFolderImpl.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/IojenkinsblueoceanserviceembeddedrestPipelineImpl.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/JenkinsmodelUnlabeledLoadStatistics.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/SwaggyjenkinsOrganisation.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/SwaggyjenkinsPipeline.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/SwaggyjenkinsPipelineLatestRun.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/SwaggyjenkinsPipelineLatestRunartifacts.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/model/SwaggyjenkinsUser.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ApiApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ApiApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/BlueApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/BlueApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ComputerApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ComputerApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/CreateItemApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/CreateItemApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/CreateViewApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/CreateViewApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/CrumbIssuerApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/CrumbIssuerApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/JobApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/JobApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/QueueApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/QueueApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ViewApiController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ViewApi.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/pom.xml
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/README.md
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/configuration/HomeController.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/Swagger2SpringBoot.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/RFC3339DateFormat.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/resources/application.properties
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ApiException.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ApiResponseMessage.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/NotFoundException.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/api/ApiOriginFilter.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/src/main/java/io/swagger/configuration/SwaggerDocumentationConfig.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/.swagger-codegen-ignore
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /Users/cliffano/dev/workspace/swaggy-jenkins/spring/generated/.swagger-codegen/VERSION
